Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
46,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,OFF-BI-10003291,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2.0,0.0,8.21
48,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,TEC-AC-10002167,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.00,3.0,0.0,4.95
49,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,TEC-PH-10003988,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.80,2.0,0.0,6.10
54,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,OFF-FA-10000304,Janet Molinari,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,Advantus Push Pins,15.26,7.0,0.0,6.26
55,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,TEC-PH-10002447,Janet Molinari,Corporate,United States,New York City,New York,10024,East,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5.0,0.0,298.69
56,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,OFF-ST-10000604,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6.0,0.0,52.14
57,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,OFF-PA-10001569,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,Xerox 232,32.40,5.0,0.0,15.55
58,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,FUR-CH-10003968,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5.0,0.1,7.10
59,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,OFF-PA-10000587,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2.0,0.0,6.99
60,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,TEC-AC-10002167,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.00,2.0,0.0,3.30
61,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,OFF-BI-10001460,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,Plastic Binding Combs,48.48,4.0,0.2,16.36
62,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,OFF-AR-10001868,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1.0,0.0,0.84
70,CA-2016-119823,2016-06-04,2016-06-06,First Class,KD-16270,OFF-PA-10000482,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2.0,0.0,35.66
71,CA-2016-106075,2016-09-18,2016-09-23,Standard Class,HM-14980,OFF-BI-10004654,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.62,1.0,0.2,1.73
72,CA-2017-114440,2017-09-14,2017-09-17,Second Class,TB-21520,OFF-PA-10004675,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3.0,0.0,8.76
76,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,OFF-BI-10004182,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,Economy Binders,1.25,3.0,0.8,-1.93
77,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,FUR-FU-10000260,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.71,3.0,0.6,-5.82
78,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,OFF-ST-10000615,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3.0,0.2,2.72
80,CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,OFF-AP-10002118,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1.0,0.0,56.20
81,CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,OFF-BI-10002309,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3.0,0.0,8.04
85,US-2017-119662,2017-11-13,2017-11-16,First Class,CS-12400,OFF-ST-10003656,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,Safco Industrial Wire Shelving,230.38,3.0,0.2,-48.95
86,CA-2017-140088,2017-05-28,2017-05-30,Second Class,PO-18865,FUR-CH-10000863,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2.0,0.0,33.22
87,CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,TEC-AC-10001998,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1.0,0.0,6.80
88,CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,OFF-LA-10000134,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,Avery 511,6.16,2.0,0.0,2.96
89,CA-2016-159695,2016-04-05,2016-04-10,Second Class,GM-14455,OFF-ST-10003442,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,Eldon Portable Mobile Manager,158.37,7.0,0.2,13.86
90,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,OFF-AR-10004930,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.10,3.0,0.0,6.63
91,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,TEC-PH-10004093,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,Panasonic Kx-TS550,73.58,2.0,0.2,8.28
92,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,OFF-PA-10000304,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,Xerox 1995,6.48,1.0,0.0,3.11
96,US-2017-109484,2017-11-06,2017-11-12,Standard Class,RB-19705,OFF-BI-10004738,Roger Barcio,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.68,1.0,0.7,-3.79
97,CA-2017-161018,2017-11-09,2017-11-11,Second Class,PN-18775,FUR-FU-10000629,Parhena Norris,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7.0,0.0,40.54
98,CA-2017-157833,2017-06-17,2017-06-20,First Class,KD-16345,OFF-BI-10001721,Katherine Ducich,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,Trimflex Flexible Post Binders,51.31,3.0,0.2,17.96
99,CA-2016-149223,2016-09-06,2016-09-11,Standard Class,ER-13855,OFF-AP-10000358,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6.0,0.0,22.59
100,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,OFF-PA-10003256,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.62,7.0,0.2,22.62
101,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,TEC-AC-10001767,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.98,3.0,0.2,-10.80
102,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,OFF-BI-10002609,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.79,3.0,0.8,-3.04
103,CA-2016-129903,2016-12-01,2016-12-04,Second Class,GZ-14470,OFF-PA-10004040,Gary Zandusky,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4.0,0.0,11.72
107,CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,TEC-AC-10003499,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.11,8.0,0.2,17.60
108,CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,TEC-PH-10002844,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,Speck Products Candyshell Flip Case,27.99,1.0,0.2,2.10
109,CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,OFF-AR-10000390,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,Newell Chalk Holder,3.30,1.0,0.2,1.07
111,CA-2017-146780,2017-12-25,2017-12-30,Standard Class,CV-12805,FUR-FU-10001934,Cynthia Voltz,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2.0,0.0,10.91
112,CA-2016-128867,2016-11-03,2016-11-10,Standard Class,CL-12565,OFF-AR-10000380,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2.0,0.0,22.79
113,CA-2016-128867,2016-11-03,2016-11-10,Standard Class,CL-12565,OFF-BI-10003981,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24,6.0,0.0,13.35
120,CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,FUR-FU-10002157,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,Artistic Insta-Plaque,47.04,3.0,0.0,18.35
121,CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,OFF-BI-10003910,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,4.0,0.0,13.88
122,CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,OFF-ST-10000777,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56,6.0,0.0,63.44
123,CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,OFF-EN-10002500,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,9.0,0.0,51.76
124,CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,TEC-PH-10003875,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,7.0,0.0,19.73
127,US-2017-107272,2017-11-05,2017-11-12,Standard Class,TS-21610,OFF-BI-10003274,Troy Staebel,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.39,2.0,0.7,-1.83
128,US-2017-107272,2017-11-05,2017-11-12,Standard Class,TS-21610,OFF-ST-10002974,Troy Staebel,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.99,7.0,0.2,30.50
129,US-2016-125969,2016-11-06,2016-11-10,Second Class,LS-16975,FUR-CH-10001146,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004,West,Furniture,Chairs,"Global Task Chair, Black",81.42,2.0,0.2,-9.16
130,US-2016-125969,2016-11-06,2016-11-10,Second Class,LS-16975,FUR-FU-10003773,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3.0,0.0,26.24
131,US-2017-164147,2017-02-02,2017-02-05,First Class,DW-13585,TEC-PH-10002293,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,5.0,0.4,-11.99
132,US-2017-164147,2017-02-02,2017-02-05,First Class,DW-13585,OFF-PA-10002377,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,Xerox 1916,78.30,2.0,0.2,29.36
133,US-2017-164147,2017-02-02,2017-02-05,First Class,DW-13585,OFF-FA-10002780,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,Staples,21.46,9.0,0.2,6.97
134,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,OFF-PA-10001804,Lena Creighton,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,Xerox 195,20.04,3.0,0.0,9.62
135,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,OFF-PA-10001736,Lena Creighton,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,Xerox 1880,35.44,1.0,0.0,16.66
136,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,OFF-AR-10001149,Lena Creighton,Consumer,United States,Roseville,California,95661,West,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52,4.0,0.0,3.46
137,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,OFF-FA-10002988,Lena Creighton,Consumer,United States,Roseville,California,95661,West,Office Supplies,Fasteners,Ideal Clamps,4.02,2.0,0.0,1.97
138,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,OFF-BI-10004781,Lena Creighton,Consumer,United States,Roseville,California,95661,West,Office Supplies,Binders,GBC Wire Binding Strips,76.18,3.0,0.2,26.66
139,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,OFF-SU-10001218,Lena Creighton,Consumer,United States,Roseville,California,95661,West,Office Supplies,Supplies,Fiskars Softgrip Scissors,65.88,6.0,0.0,18.45
140,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,FUR-FU-10001706,Lena Creighton,Consumer,United States,Roseville,California,95661,West,Furniture,Furnishings,Longer-Life Soft White Bulbs,43.12,14.0,0.0,20.70
141,CA-2016-110366,2016-09-05,2016-09-07,Second Class,JD-15895,FUR-FU-10004848,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.80,2.0,0.2,10.35
142,CA-2017-106180,2017-09-18,2017-09-23,Standard Class,SH-19975,OFF-AR-10000940,Sally Hughsby,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Art,Newell 343,8.82,3.0,0.0,2.38
143,CA-2017-106180,2017-09-18,2017-09-23,Standard Class,SH-19975,OFF-EN-10004030,Sally Hughsby,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,10.86,3.0,0.0,5.10
144,CA-2017-106180,2017-09-18,2017-09-23,Standard Class,SH-19975,OFF-PA-10004327,Sally Hughsby,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,Xerox 1911,143.70,3.0,0.0,68.98
145,CA-2017-155376,2017-12-22,2017-12-27,Standard Class,SG-20080,OFF-AP-10001058,Sandra Glassco,Consumer,United States,Independence,Missouri,64055,Central,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43,3.0,0.0,218.25
148,CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,TEC-PH-10000215,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45,11.0,0.0,103.80
149,CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,TEC-PH-10001448,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,149.97,3.0,0.0,6.00
150,CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,FUR-CH-10000454,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,8.0,0.0,585.55
151,CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,OFF-BI-10002735,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,171.55,5.0,0.0,80.63
152,CA-2016-158834,2016-03-13,2016-03-16,First Class,TW-21025,OFF-AP-10000326,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,85254,West,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5.0,0.2,17.77
153,CA-2016-158834,2016-03-13,2016-03-16,First Class,TW-21025,TEC-PH-10001254,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,85254,West,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,203.18,2.0,0.2,15.24
159,CA-2016-114104,2016-11-20,2016-11-24,Standard Class,NP-18670,OFF-LA-10002475,Nora Paige,Consumer,United States,Edmond,Oklahoma,73034,Central,Office Supplies,Labels,Avery 519,14.62,2.0,0.0,6.87
160,CA-2016-114104,2016-11-20,2016-11-24,Standard Class,NP-18670,TEC-PH-10004536,Nora Paige,Consumer,United States,Edmond,Oklahoma,73034,Central,Technology,Phones,Avaya 5420 Digital phone,944.93,7.0,0.0,236.23
161,CA-2016-162733,2016-05-11,2016-05-12,First Class,TT-21070,OFF-PA-10002751,Ted Trevino,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,Xerox 1920,5.98,1.0,0.0,2.69
163,CA-2016-154508,2016-11-16,2016-11-20,Standard Class,RD-19900,OFF-EN-10001990,Ruben Dartt,Consumer,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Envelopes,Staple envelope,28.40,5.0,0.0,13.35
164,CA-2016-113817,2016-11-07,2016-11-11,Standard Class,MJ-17740,OFF-BI-10004002,Max Jones,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,27.68,2.0,0.2,9.69
177,US-2017-152366,2017-04-21,2017-04-25,Second Class,SJ-20500,OFF-AP-10002684,Shirley Jackson,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",97.26,4.0,0.8,-243.16
186,CA-2016-105018,2016-11-28,2016-12-02,Standard Class,SK-19990,OFF-BI-10001890,Sally Knutson,Consumer,United States,Fairfield,Connecticut,6824,East,Office Supplies,Binders,Avery Poly Binder Pockets,7.16,2.0,0.0,3.44
188,CA-2016-157000,2016-07-16,2016-07-22,Standard Class,AM-10360,OFF-ST-10001328,Alice McCarthy,Corporate,United States,Grand Prairie,Texas,75051,Central,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",37.22,3.0,0.2,3.72
189,CA-2016-157000,2016-07-16,2016-07-22,Standard Class,AM-10360,OFF-PA-10001950,Alice McCarthy,Corporate,United States,Grand Prairie,Texas,75051,Central,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,20.02,3.0,0.2,6.26
198,CA-2017-107720,2017-11-06,2017-11-13,Standard Class,VM-21685,OFF-ST-10001414,Valerie Mitchum,Home Office,United States,Westfield,New Jersey,7090,East,Office Supplies,Storage,Decoflex Hanging Personal Folder File,46.26,3.0,0.0,12.03
199,US-2017-124303,2017-07-06,2017-07-13,Standard Class,FH-14365,OFF-BI-10000343,Fred Hopkins,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2.95,2.0,0.7,-2.26
200,US-2017-124303,2017-07-06,2017-07-13,Standard Class,FH-14365,OFF-PA-10002749,Fred Hopkins,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",16.06,3.0,0.2,5.82
201,CA-2017-105074,2017-06-24,2017-06-29,Standard Class,MB-17305,OFF-PA-10002666,Maria Bertelson,Consumer,United States,Akron,Ohio,44312,East,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,21.74,3.0,0.2,6.80
204,US-2017-116701,2017-12-17,2017-12-21,Second Class,LC-17140,OFF-AP-10003217,Logan Currie,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,66.28,2.0,0.8,-178.97
205,CA-2017-126382,2017-06-03,2017-06-07,Standard Class,HK-14890,FUR-FU-10002960,Heather Kirkland,Corporate,United States,Franklin,Tennessee,37064,South,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",35.17,7.0,0.2,9.67
206,CA-2017-108329,2017-12-09,2017-12-14,Standard Class,LE-16810,TEC-PH-10001918,Laurel Elliston,Consumer,United States,Whittier,California,90604,West,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,444.77,4.0,0.2,44.48
207,CA-2017-135860,2017-12-01,2017-12-07,Standard Class,JH-15985,OFF-ST-10000642,Joseph Holt,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,Storage,"Tennsco Lockers, Gray",83.92,4.0,0.0,5.87
208,CA-2017-135860,2017-12-01,2017-12-07,Standard Class,JH-15985,TEC-PH-10001700,Joseph Holt,Consumer,United States,Saginaw,Michigan,48601,Central,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,131.98,2.0,0.0,35.63
209,CA-2017-135860,2017-12-01,2017-12-07,Standard Class,JH-15985,OFF-BI-10003274,Joseph Holt,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",15.92,4.0,0.0,7.48
